soc,battery_temp,ambient_temp,speed,hvac_power,tire_pressure,payload_kg,elevation_change,drive_mode,weather,road_type,remaining_range_km
43.708610696262625,26.809065608323262,8.682040923334924,59.96042924748642,3.649991554949852,28.738966714207173,319.07228418608696,21.878526197410736,eco,snow,mixed,153.90152894498223
95.56428757689245,29.20306978125064,6.645604811570163,89.60961270151131,0.9225599779935578,28.486029836704162,229.64622676709655,-92.2193064473805,eco,fog,highway,417.6382432158308
75.87945476302646,40.636421796065406,-1.192304374856997,67.52001367875998,1.7331984718494309,32.833535605949315,482.2492624319704,22.45206817534691,sport,rain,highway,231.991520485926
63.8792635777333,25.200131581796764,20.363333505074397,9.996309973415567,3.3164031842890913,35.72893057994204,109.48922549211909,-82.06627864717674,eco,fog,city,304.00798672345763
24.041677639819287,41.08949054436514,13.831208025431444,22.26962841402665,2.4104467226223996,32.021770471637794,293.9282079994703,42.06884770374947,sport,rain,highway,58.52790514161205
24.03950683025824,17.644032929300746,33.28504961620018,26.319382083710295,3.692855193174469,28.412121807514442,350.1050074951113,-21.984470683813882,normal,clear,highway,61.628658726272704
15.227525095137953,38.303953116258924,-8.394520975897088,30.943710437381387,4.806039506114298,29.76974924861965,412.7822446726908,67.53929831370374,sport,snow,city,0.0
87.95585311974416,40.42642899164209,22.193396377756315,67.84840703406051,0.5827334385759875,29.958343251326166,203.48551521400356,88.50584905302611,normal,fog,city,380.81368127189694
64.1003510568888,20.454529585120163,28.14744392557806,60.47589357904722,3.5478385819903044,30.7028570330956,343.46095382874074,-16.577931706878203,normal,fog,highway,218.9202477443894
73.7265320016441,27.91039597116601,27.974328459415354,24.37920460370507,1.1517207781605725,28.3488270686897,151.6007356921414,-7.888940905250763,normal,rain,mixed,300.31825020080834
11.85260448662222,19.964993239909667,34.30369835477626,8.10658121468245,2.0723836370378463,35.23914160398333,217.73804618091015,18.02951620257005,eco,fog,city,43.8982321554291
97.29188669457949,36.19812386982653,26.4516871414747,20.571864536966167,0.16431362897569912,32.12451155777196,447.8135656016996,-60.573455628389894,eco,rain,city,491.63491069250034
84.91983767203796,31.060433041849702,36.39050308238482,118.12575751423239,0.6795369114634947,33.36744634363287,474.95380466547715,85.46656816567227,sport,rain,highway,259.11183380588517
